Date,Gemini,GDAX,Coinbase,Kraken,Poloniex,Bitstamp
2017-12-01 01-AM,9900.97,9860.01,9860.01,10003,9905.94,9905.94
2017-12-01 12-AM,9934.4,9903,9903,10088.5,9947.67,9947.67
2017-11-30 11-PM,9830,9803,9803,9857.9,9849.27,9849.27
2017-11-30 10-PM,9693.11,9678.96,9678.96,9860,9701.67,9701.67
2017-11-30 09-PM,9434.35,9427.69,9427.69,9605,9457.61,9457.61
2017-11-30 08-PM,9904.17,9900.01,9900.01,9949.8,9864.26,9864.26
2017-11-30 07-PM,9775,9761.21,9761.21,9757,9639.17,9639.17
2017-11-30 06-PM,9699.99,9730.46,9730.46,9780,9602,9602
2017-11-30 05-PM,9392.8,9465.28,9465.28,9516,9269,9269
2017-11-30 04-PM,9325,9440,9440,9380,9249.99,9249.99
2017-11-30 03-PM,9479.99,9526.97,9526.97,9650,9461,9461
2017-11-30 02-PM,9185.13,9490.04,9490.04,9557.9,9150.12,9150.12
2017-11-30 01-PM,9865.02,10018,10018,9989,9850.23,9850.23
2017-11-30 12-PM,9701.47,9953.74,9953.74,9825,9708,9708
2017-11-30 11-AM,9591.42,9711,9711,9842,9482,9482
2017-11-30 10-AM,10234.3,10258.63,10258.63,10235,10160,10160
2017-11-30 09-AM,10390.41,10369.15,10369.15,10300,10226,10226
2017-11-30 08-AM,10383.69,10370,10370,10349,10203.9,10203.9
2017-11-30 07-AM,10347.15,10264.56,10264.56,10203.3,10135,10135
2017-11-30 06-AM,10550,10486,10486,10382.5,10359.12,10359.12
2017-11-30 05-AM,10743.27,10676.01,10676.01,10624,10543.97,10543.97
2017-11-30 04-AM,10759.89,10675,10675,10514.1,10450,10450
2017-11-30 03-AM,10582.01,10496.99,10496.99,10488.2,10402.89,10402.89
2017-11-30 02-AM,10649.86,10492.95,10492.95,10489,10386.91,10386.91
2017-11-30 01-AM,10090.01,10061.81,10061.81,9915,10007.43,10007.43
2017-11-30 12-AM,9827.29,9935.98,9935.98,9795.8,9824.68,9824.68
2017-11-29 11-PM,10037.27,10037.46,10037.46,9934.7,9949.98,9949.98
2017-11-29 10-PM,10292.83,10274.98,10274.98,10067.8,10204.99,10204.99
